epoch,value,layer_name,trace
0,226251.705078125,conv1,within
0,259.5883626937866,conv1,between
0,226511.2934408188,conv1,sum
0,95722.72509765625,bn1,within
0,105.8349392414093,bn1,between
0,95828.56003689766,bn1,sum
0,32962.248046875,relu,within
0,31.864210844039917,relu,between
0,32994.11225771904,relu,sum
0,32962.248046875,maxpool,within
0,31.864210844039917,maxpool,between
0,32994.11225771904,maxpool,sum
0,13862.24853515625,layer1.0.conv1,within
0,17.409674286842346,layer1.0.conv1,between
0,13879.658209443092,layer1.0.conv1,sum
0,23489.730224609375,layer1.0.bn1,within
0,29.562530517578125,layer1.0.bn1,between
0,23519.292755126953,layer1.0.bn1,sum
0,19424.617065429688,layer1.0.relu,within
0,23.278292655944824,layer1.0.relu,between
0,19447.895358085632,layer1.0.relu,sum
0,8891.417114257812,layer1.0.conv2,within
0,10.93563824892044,layer1.0.conv2,between
0,8902.352752506733,layer1.0.conv2,sum
0,14551.719482421875,layer1.0.bn2,within
0,17.06686919927597,layer1.0.bn2,between
0,14568.786351621151,layer1.0.bn2,sum
0,13862.24853515625,layer1.0,within
0,17.409674286842346,layer1.0,between
0,13879.658209443092,layer1.0,sum
0,19424.617065429688,layer1.1.conv1,within
0,23.278292655944824,layer1.1.conv1,between
0,19447.895358085632,layer1.1.conv1,sum
0,33583.5302734375,layer1.1.bn1,within
0,41.76255702972412,layer1.1.bn1,between
0,33625.292830467224,layer1.1.bn1,sum
0,30107.060302734375,layer1.1.relu,within
0,36.390604734420776,layer1.1.relu,between
0,30143.450907468796,layer1.1.relu,sum
0,14803.604370117188,layer1.1.conv2,within
0,17.472954094409943,layer1.1.conv2,between
0,14821.077324211597,layer1.1.conv2,sum
0,24545.815063476562,layer1.1.bn2,within
0,26.524527549743652,layer1.1.bn2,between
0,24572.339591026306,layer1.1.bn2,sum
0,19424.617065429688,layer1.1,within
0,23.278292655944824,layer1.1,between
0,19447.895358085632,layer1.1,sum
0,13862.24853515625,layer1,within
0,17.409674286842346,layer1,between
0,13879.658209443092,layer1,sum
0,30107.060302734375,layer2.0.conv1,within
0,36.390604734420776,layer2.0.conv1,between
0,30143.450907468796,layer2.0.conv1,sum
0,12883.175964355469,layer2.0.bn1,within
0,15.61525696516037,layer2.0.bn1,between
0,12898.79122132063,layer2.0.bn1,sum
0,10666.837951660156,layer2.0.relu,within
0,13.20846837759018,layer2.0.relu,between
0,10680.046420037746,layer2.0.relu,sum
0,5751.1708984375,layer2.0.conv2,within
0,6.968166559934616,layer2.0.conv2,between
0,5758.139064997435,layer2.0.conv2,sum
0,8492.301574707031,layer2.0.bn2,within
0,10.351508229970932,layer2.0.bn2,between
