epoch,value,layer_name,trace
2,0.2676549069583416,model.fc5,within
2,0.00019595903540903237,model.fc5,between
2,0.26785086599375063,model.fc5,sum
2,0.05306675797328353,model.relu5,within
2,3.874000913128839e-05,model.relu5,between
2,0.05310549798241482,model.relu5,sum
2,0.02642869157716632,model.fc6,within
2,1.9350076797763904e-05,model.fc6,between
2,0.026448041653964083,model.fc6,sum
2,0.005252186645520851,model.relu6,within
2,3.688915256816472e-06,model.relu6,between
2,0.0052558755607776675,model.relu6,sum
2,0.0026246497145621106,model.fc7,within
2,1.8618660462266234e-06,model.fc7,between
2,0.0026265115806083372,model.fc7,sum
2,0.000522611280757701,model.relu7,within
2,3.912923105531263e-07,model.relu7,between
2,0.0005230025730682542,model.relu7,sum
2,0.0002639633712533396,model.fc8,within
2,1.9968882014609335e-07,model.fc8,between
2,0.00026416306007348567,model.fc8,sum
2,5.3654041948902886e-05,model.relu8,within
2,4.2059505767078065e-08,model.relu8,between
2,5.3696101454669964e-05,model.relu8,sum
2,2.5123565592366504e-05,model.fc9,within
2,1.9840570686380232e-08,model.fc9,between
2,2.5143406163052884e-05,model.fc9,sum
2,4.963883924347101e-06,model.relu9,within
2,3.7917266132447836e-09,model.relu9,between
2,4.967675650960346e-06,model.relu9,sum
2,2.1877212645904365e-06,model.fc10,within
2,1.691470921660887e-09,model.fc10,between
2,2.1894127355120974e-06,model.fc10,sum
2,228932.791015625,model,within
2,238.88317441940308,model,between
2,229171.6741900444,model,sum
2,228932.791015625,,within
2,238.88317441940308,,between
2,229171.6741900444,,sum
3,231294.9921875,model.flatten,within
3,239.08832359313965,model.flatten,between
3,231534.08051109314,model.flatten,sum
3,231294.9921875,model.fc0,within
3,239.0883207321167,model.fc0,between
3,231534.08050823212,model.fc0,sum
3,11932.410949707031,model.relu0,within
3,12.415782868862152,model.relu0,between
3,11944.826732575893,model.relu0,sum
3,4178.168395996094,model.fc1,within
3,3.5857323482632637,model.fc1,between
3,4181.754128344357,model.fc1,sum
3,635.111930847168,model.relu1,within
3,0.5350076416507363,model.relu1,between
3,635.6469384888187,model.relu1,sum
3,240.9850664138794,model.fc2,within
3,0.1880750386044383,model.fc2,between
3,241.17314145248383,model.fc2,sum
3,36.25043439865112,model.relu2,within
3,0.028176439052913338,model.relu2,between
3,36.278610837704036,model.relu2,sum
3,15.204731047153473,model.fc3,within
3,0.011349328415235505,model.fc3,between
3,15.216080375568708,model.fc3,sum
3,2.3247982263565063,model.relu3,within
3,0.0017859460422187112,model.relu3,between
3,2.326584172398725,model.relu3,sum
3,1.0246302112936974,model.fc4,within
3,0.0007618822801305214,model.fc4,between
3,1.0253920935738279,model.fc4,sum
3,0.15823468659073114,model.relu4,within
3,0.0001212509660035721,model.relu4,between
3,0.15835593755673472,model.relu4,sum
3,0.07777954684570432,model.fc5,within
3,5.893612944873894e-05,model.fc5,between
3,0.07783848297515306,model.fc5,sum
3,0.011828041693661362,model.relu5,within
3,8.855778901306621e-06,model.relu5,between
3,0.011836897472562669,model.relu5,sum
3,0.005940495058894157,model.fc6,within
3,4.515105629820937e-06,model.fc6,between
3,0.005945010164523978,model.fc6,sum
3,0.0009084731318580452,model.relu6,within
3,6.823632396901758e-07,model.relu6,between
3,0.0009091554950977354,model.relu6,sum
3,0.000457715234006173,model.fc7,within
3,3.453681829412858e-07,model.fc7,between
3,0.00045806060218911426,model.fc7,sum
3,7.063563316478394e-05,model.relu7,within
3,5.550237158757909e-08,model.relu7,between
3,7.069113553637152e-05,model.relu7,sum
3,3.565596102816926e-05,model.fc8,within
3,2.8095722415244495e-08,model.fc8,between
3,3.56840567505845e-05,model.fc8,sum
3,5.609344356116708e-06,model.relu8,within
3,4.578069798255591e-09,model.relu8,between
3,5.613922425914963e-06,model.relu8,sum
3,2.627310522029802e-06,model.fc9,within
3,2.15368352665668e-09,model.fc9,between
3,2.6294642055564588e-06,model.fc9,sum
3,3.98588893446572e-07,model.relu9,within
3,3.130778440316173e-10,model.relu9,between
3,3.989019712906036e-07,model.relu9,sum
3,1.7311305278155942e-07,model.fc10,within
3,1.38490368912364e-10,model.fc10,between
3,1.7325154315047178e-07,model.fc10,sum
3,231294.9921875,model,within
3,239.08832359313965,model,between
3,231534.08051109314,model,sum
3,231294.9921875,,within
3,239.08832359313965,,between
3,231534.08051109314,,sum
4,226288.8310546875,model.flatten,within
4,225.62970209121704,model.flatten,between
4,226514.46075677872,model.flatten,sum
4,226288.8310546875,model.fc0,within
4,225.62970972061157,model.fc0,between
4,226514.4607644081,model.fc0,sum
4,8974.564636230469,model.relu0,within
4,8.914334699511528,model.relu0,between
4,8983.47897092998,model.relu0,sum
4,3138.290786743164,model.fc1,within
4,2.6217722445726395,model.fc1,between
4,3140.9125589877367,model.fc1,sum
4,366.59341621398926,model.relu1,within
4,0.2988202190026641,model.relu1,between
4,366.8922364329919,model.relu1,sum
4,139.17528629302979,model.fc2,within
4,0.10820293240249157,model.fc2,between
4,139.28348922543228,model.fc2,sum
4,16.08479070663452,model.relu2,within
4,0.012660708685871214,model.relu2,between
4,16.097451415320393,model.relu2,sum
4,6.796890437602997,model.fc3,within
4,0.005121425856486894,model.fc3,between
