epoch,value,split
0,0.1,train
0,0.1,test
1,0.1,train
1,0.1,test
2,0.1,train
2,0.1,test
3,0.1,train
3,0.1,test
4,0.1,train
4,0.1,test
5,0.1,train
5,0.1,test
7,0.1,train
7,0.1,test
10,0.1,train
10,0.1,test
14,0.1,train
14,0.1,test
20,0.1,train
20,0.1,test
30,0.1,train
30,0.1,test
40,0.1,train
40,0.1,test
50,0.1,train
50,0.1,test
70,0.1,train
70,0.1,test
100,0.1,train
100,0.1,test
130,0.1,train
130,0.1,test
160,0.1,train
160,0.1,test
200,0.1,train
200,0.1,test
