epoch,value,layer_name,trace
0,42880.65673828125,model.flatten,within
0,127.08755588531494,model.flatten,between
0,43007.744294166565,model.flatten,sum
0,42880.65673828125,model.fc0,within
0,127.08755302429199,model.fc0,between
0,43007.74429130554,model.fc0,sum
0,14271.129638671875,model.relu0,within
0,41.09236168861389,model.relu0,between
0,14312.222000360489,model.relu0,sum
0,5372.744873046875,model.fc1,within
0,13.309015274047852,model.fc1,between
0,5386.053888320923,model.fc1,sum
0,1796.5634002685547,model.relu1,within
0,4.479277953505516,model.relu1,between
0,1801.0426782220602,model.relu1,sum
0,715.6005516052246,model.fc2,within
0,1.5694919005036354,model.fc2,between
0,717.1700435057282,model.fc2,sum
0,241.65942001342773,model.relu2,within
0,0.5279140807688236,model.relu2,between
0,242.18733409419656,model.relu2,sum
0,99.75155210494995,model.fc3,within
0,0.19789823610335588,model.fc3,between
0,99.9494503410533,model.fc3,sum
0,33.356913328170776,model.relu3,within
0,0.06646654126234353,model.relu3,between
0,33.42337986943312,model.relu3,sum
0,13.86035168170929,model.fc4,within
0,0.02523789438419044,model.fc4,between
0,13.88558957609348,model.fc4,sum
0,4.589216202497482,model.relu4,within
0,0.00837974579189904,model.relu4,between
0,4.597595948289381,model.relu4,sum
0,1.9601608291268349,model.fc5,within
0,0.0033709163835737854,model.fc5,between
0,1.9635317455104087,model.fc5,sum
0,0.6536929868161678,model.relu5,within
0,0.0011175489198649302,model.relu5,between
0,0.6548105357360328,model.relu5,sum
0,0.31272331066429615,model.fc6,within
0,0.0005205166944506345,model.fc6,between
0,0.3132438273587468,model.fc6,sum
0,0.10497314622625709,model.relu6,within
0,0.00017887620015244465,model.relu6,between
0,0.10515202242640953,model.relu6,sum
0,0.05248279171064496,model.fc7,within
0,8.823289840620419e-05,model.fc7,between
0,0.052571024609051165,model.fc7,sum
0,0.017422276781871915,model.relu7,within
0,2.903980600876821e-05,model.relu7,between
0,0.017451316587880683,model.relu7,sum
0,0.008658259583171457,model.fc8,within
0,1.4349004857194814e-05,model.fc8,between
0,0.008672608588028652,model.fc8,sum
0,0.00288173025182914,model.relu8,within
0,4.741108597272614e-06,model.relu8,between
0,0.0028864713604264125,model.relu8,sum
0,0.0013694341469090432,model.fc9,within
0,2.2874324869803786e-06,model.fc9,between
0,0.0013717215793960236,model.fc9,sum
0,0.0004562787762552034,model.relu9,within
0,7.864031132953642e-07,model.relu9,between
0,0.0004570651793684988,model.relu9,sum
0,0.00022994025584921474,model.fc10,within
0,3.9706037213704803e-07,model.fc10,between
0,0.00023033731622135178,model.fc10,sum
0,42880.65673828125,model,within
0,127.08755588531494,model,between
0,43007.744294166565,model,sum
0,42880.65673828125,,within
0,127.08755588531494,,between
0,43007.744294166565,,sum
1,43959.081787109375,model.flatten,within
1,120.29345750808716,model.flatten,between
1,44079.37524461746,model.flatten,sum
1,43959.081298828125,model.fc0,within
1,120.29345273971558,model.fc0,between
1,44079.37475156784,model.fc0,sum
1,10745.397216796875,model.relu0,within
1,28.679948210716248,model.relu0,between
1,10774.077165007591,model.relu0,sum
1,4054.216064453125,model.fc1,within
1,9.374272376298904,model.fc1,between
1,4063.590336829424,model.fc1,sum
1,995.2430076599121,model.relu1,within
1,2.315271519124508,model.relu1,between
1,997.5582791790366,model.relu1,sum
1,396.9486026763916,model.fc2,within
1,0.807582825422287,model.fc2,between
1,397.7561855018139,model.fc2,sum
1,98.48467111587524,model.relu2,within
1,0.19894843362271786,model.relu2,between
1,98.68361954949796,model.relu2,sum
1,40.91842460632324,model.fc3,within
1,0.07561903586611152,model.fc3,between
1,40.994043642189354,model.fc3,sum
1,10.05054759979248,model.relu3,within
1,0.01892725977813825,model.relu3,between
1,10.069474859570619,model.relu3,sum
1,4.301282435655594,model.fc4,within
1,0.007517174148233607,model.fc4,between
1,4.3087996098038275,model.fc4,sum
1,1.0443675145506859,model.relu4,within
1,0.0018348333178437315,model.relu4,between
1,1.0462023478685296,model.relu4,sum
1,0.4631198588758707,model.fc5,within
1,0.0007851904192648362,model.fc5,between
1,0.46390504929513554,model.fc5,sum
1,0.11350373178720474,model.relu5,within
1,0.00019174303906766,model.relu5,between
1,0.1136954748262724,model.relu5,sum
1,0.05619044741615653,model.fc6,within
1,9.165464484794938e-05,model.fc6,between
1,0.05628210206100448,model.fc6,sum
1,0.013905105355661362,model.relu6,within
1,2.339396837669483e-05,model.relu6,between
1,0.013928499324038057,model.relu6,sum
1,0.007121465547243133,model.fc7,within
1,1.1820696158792998e-05,model.fc7,between
1,0.007133286243401926,model.fc7,sum
1,0.0017471335959271528,model.relu7,within
1,2.9835023838131747e-06,model.relu7,between
1,0.001750117098310966,model.relu7,sum
1,0.0008644081281090621,model.fc8,within
1,1.472328406748602e-06,model.fc8,between
1,0.0008658804565158107,model.fc8,sum
1,0.00021161524000490317,model.relu8,within
1,3.6555429616669244e-07,model.relu8,between
1,0.00021198079430106986,model.relu8,sum
1,9.888126669466146e-05,model.fc9,within
1,1.7418942999114506e-07,model.fc9,between
1,9.905545612465261e-05,model.fc9,sum
1,2.4259228553091816e-05,model.relu9,within
1,4.364192207617634e-08,model.relu9,between
1,2.4302870475167992e-05,model.relu9,sum
1,1.1009113677573623e-05,model.fc10,within
1,2.038948881954994e-08,model.fc10,between
1,1.1029503166393173e-05,model.fc10,sum
1,43959.081787109375,model,within
1,120.29345750808716,model,between
1,44079.37524461746,model,sum
1,43959.081787109375,,within
1,120.29345750808716,,between
1,44079.37524461746,,sum
2,43746.550537109375,model.flatten,within
2,123.12627172470093,model.flatten,between
2,43869.676808834076,model.flatten,sum
2,43746.550537109375,model.fc0,within
2,123.12626647949219,model.fc0,between
2,43869.67680358887,model.fc0,sum
2,7805.160797119141,model.relu0,within
2,21.38994336128235,model.relu0,between
2,7826.550740480423,model.relu0,sum
2,2941.1810913085938,model.fc1,within
2,6.949614763259888,model.fc1,between
2,2948.1307060718536,model.fc1,sum
2,526.7272472381592,model.relu1,within
2,1.2407115027308464,model.relu1,between
2,527.96795874089,model.relu1,sum
2,210.1881446838379,model.fc2,within
2,0.4374187681823969,model.fc2,between
2,210.6255634520203,model.fc2,sum
2,38.01997995376587,model.relu2,within
2,0.07945277774706483,model.relu2,between
2,38.099432731512934,model.relu2,sum
2,15.908604323863983,model.fc3,within
2,0.03025083790998906,model.fc3,between
2,15.938855161773972,model.fc3,sum
2,2.850801959633827,model.relu3,within
2,0.00553517448133789,model.relu3,between
2,2.856337134115165,model.relu3,sum
2,1.2768250107765198,model.fc4,within
2,0.0023854928149376065,model.fc4,between
2,1.2792105035914574,model.fc4,sum
2,0.226268301717937,model.relu4,within
2,0.00042966917135345284,model.relu4,between
2,0.22669797088929045,model.relu4,sum
2,0.10330802714452147,model.fc5,within
2,0.0001919691139846691,model.fc5,between
2,0.10349999625850614,model.fc5,sum
2,0.01841333054471761,model.relu5,within
2,3.3943509151868057e-05,model.relu5,between
2,0.018447274053869478,model.relu5,sum
2,0.009326851926743984,model.fc6,within
2,1.670395528208246e-05,model.fc6,between
2,0.009343555882026067,model.fc6,sum
2,0.0016819791053421795,model.relu6,within
2,3.08944359517227e-06,model.relu6,between
2,0.0016850685489373518,model.relu6,sum
2,0.0008687218578415923,model.fc7,within
2,1.602130311084693e-06,model.fc7,between
2,0.000870323988152677,model.fc7,sum
2,0.00015597169658576604,model.relu7,within
2,2.980551876419213e-07,model.relu7,between
2,0.00015626975177340796,model.relu7,sum
2,7.779206180202891e-05,model.fc8,within
2,1.5149911725131915e-07,model.fc8,between
2,7.794356091928023e-05,model.fc8,sum
2,1.3900412795919692e-05,model.relu8,within
2,2.7513629374809057e-08,model.relu8,between
2,1.3927926425294501e-05,model.relu8,sum
2,6.5014338588298415e-06,model.fc9,within
