epoch,value,layer_name
160,5475.46630859375,model.9
160,4966.7978515625,model.10
160,2618.685302734375,model.11
160,10969828.0,model
160,10969828.0,
200,10866063.0,model.0
200,10866063.0,model.1
200,2856622.0,model.2
200,1559432.0,model.3
200,74619.1875,model.4
200,41414.16015625,model.5
200,15553.474609375,model.6
200,9070.892578125,model.7
200,9197.025390625,model.8
200,4793.80224609375,model.9
200,4360.87255859375,model.10
200,2306.6953125,model.11
200,10866063.0,model
200,10866063.0,
