epoch,value,layer_name,trace
0,43589.22412109375,model.0,within
0,123.83889770507812,model.0,between
0,43713.06301879883,model.0,sum
0,43589.22412109375,model.1,within
0,123.83889579772949,model.1,between
0,43713.06301689148,model.1,sum
0,7330.205535888672,model.2,within
0,21.132835507392883,model.2,between
0,7351.338371396065,model.2,sum
0,2776.6826782226562,model.3,within
0,6.796546578407288,model.3,between
0,2783.4792248010635,model.3,sum
0,928.3604621887207,model.4,within
0,2.3040076345205307,model.4,between
0,930.6644698232412,model.4,sum
0,379.2517490386963,model.5,within
0,0.8687319494783878,model.5,between
0,380.1204809881747,model.5,sum
0,127.68302536010742,model.6,within
0,0.2890562927350402,model.6,between
0,127.97208165284246,model.6,sum
0,54.0356719493866,model.7,within
0,0.11385275702923536,model.7,between
0,54.14952470641583,model.7,sum
0,18.16354650259018,model.8,within
0,0.038919286569580436,model.8,between
0,18.20246578915976,model.8,sum
0,8.206678867340088,model.9,within
0,0.016736810852307826,model.9,between
0,8.223415678192396,model.9,sum
0,2.7593959271907806,model.10,within
0,0.005366764904465526,model.10,between
0,2.764762692095246,model.10,sum
0,1.2898762039840221,model.11,within
0,0.002513169645681046,model.11,between
0,1.2923893736297032,model.11,sum
0,43589.22412109375,model,within
0,123.83889770507812,model,between
0,43713.06301879883,model,sum
0,43589.22412109375,,within
0,123.83889770507812,,between
0,43713.06301879883,,sum
1,42749.873046875,model.0,within
1,112.6973648071289,model.0,between
1,42862.57041168213,model.0,sum
1,42749.873046875,model.1,within
1,112.6973648071289,model.1,between
1,42862.57041168213,model.1,sum
1,8468.096130371094,model.2,within
1,56.57205080986023,model.2,between
1,8524.668181180954,model.2,sum
1,4449.69677734375,model.3,within
1,34.86083960533142,model.3,between
1,4484.557616949081,model.3,sum
1,1901.1846237182617,model.4,within
1,28.08285391330719,model.4,between
1,1929.267477631569,model.4,sum
1,1166.4366645812988,model.5,within
1,18.668555915355682,model.5,between
1,1185.1052204966545,model.5,sum
1,616.8917293548584,model.6,within
1,14.774982362985611,model.6,between
1,631.666711717844,model.6,sum
1,390.14585304260254,model.7,within
1,9.575904905796051,model.7,between
1,399.7217579483986,model.7,sum
1,226.8607587814331,model.8,within
1,7.34198485314846,model.8,between
1,234.20274363458157,model.8,sum
1,133.27758646011353,model.9,within
1,4.308999672532082,model.9,between
1,137.5865861326456,model.9,sum
1,74.27608585357666,model.10,within
1,2.970958024263382,model.10,between
1,77.24704387784004,model.10,sum
1,41.187586069107056,model.11,within
1,1.5899921134114265,model.11,between
1,42.77757818251848,model.11,sum
1,42749.873046875,model,within
1,112.6973648071289,model,between
1,42862.57041168213,model,sum
1,42749.873046875,,within
1,112.6973648071289,,between
1,42862.57041168213,,sum
2,44230.953857421875,model.0,within
2,120.7681212425232,model.0,between
2,44351.7219786644,model.0,sum
2,44230.953857421875,model.1,within
2,120.76811933517456,model.1,between
2,44351.72197675705,model.1,sum
2,9160.421173095703,model.2,within
2,61.0942862033844,model.2,between
2,9221.515459299088,model.2,sum
2,3905.7825622558594,model.3,within
2,30.97921895980835,model.3,between
2,3936.7617812156677,model.3,sum
2,1308.9496879577637,model.4,within
2,22.38355028629303,model.4,between
2,1331.3332382440567,model.4,sum
2,739.6684303283691,model.5,within
2,14.203634679317474,model.5,between
2,753.8720650076866,model.5,sum
2,344.2313938140869,model.6,within
2,11.125860720872879,model.6,between
2,355.3572545349598,model.6,sum
2,201.9911127090454,model.7,within
