epoch,value,layer_name
14,351657.75,model.3
14,40733.55078125,model.4
14,26733.076171875,model.5
14,15978.7109375,model.6
14,10727.3818359375,model.7
14,7898.150390625,model.8
14,5246.89501953125,model.9
14,3813.06982421875,model.10
14,2898.85986328125,model.11
14,2472904.5,model
14,2472904.5,
20,2482744.0,model.0
20,2482744.0,model.1
20,691373.875,model.2
20,348873.5625,model.3
20,35612.90625,model.4
20,22870.92578125,model.5
20,14342.89453125,model.6
20,9571.5341796875,model.7
20,7234.05615234375,model.8
20,4728.84228515625,model.9
20,3448.17236328125,model.10
20,2620.51318359375,model.11
20,2482744.0,model
20,2482744.0,
30,2459496.0,model.0
30,2459496.0,model.1
30,676881.5,model.2
30,341704.0,model.3
30,32134.296875,model.4
30,20563.025390625,model.5
30,13290.69921875,model.6
30,8988.390625,model.7
30,7241.5556640625,model.8
30,4577.21142578125,model.9
30,3335.2294921875,model.10
30,2491.95458984375,model.11
30,2459496.0,model
30,2459496.0,
40,2442160.75,model.0
40,2442160.75,model.1
40,673812.0625,model.2
40,332173.375,model.3
40,28896.287109375,model.4
40,18435.85546875,model.5
40,12236.615234375,model.6
40,8353.517578125,model.7
40,7032.12744140625,model.8
40,4439.111328125,model.9
40,3237.591796875,model.10
40,2345.265625,model.11
40,2442160.75,model
40,2442160.75,
50,2532448.5,model.0
50,2532448.5,model.1
50,692174.3125,model.2
50,340766.1875,model.3
50,27206.451171875,model.4
50,17637.71875,model.5
50,12212.8525390625,model.6
50,8296.5908203125,model.7
50,7207.4423828125,model.8
50,4556.42724609375,model.9
50,3338.2978515625,model.10
50,2337.895751953125,model.11
50,2532448.5,model
50,2532448.5,
70,2539437.0,model.0
70,2539437.0,model.1
70,694722.5,model.2
70,334928.125,model.3
70,23043.84375,model.4
70,14606.451171875,model.5
70,10495.56640625,model.6
70,7179.4130859375,model.7
70,6647.65966796875,model.8
70,4416.982421875,model.9
70,3476.513671875,model.10
70,2227.22705078125,model.11
70,2539437.0,model
70,2539437.0,
100,2580463.0,model.0
100,2580463.0,model.1
100,652482.625,model.2
