epoch,value,layer_name,trace
10,2591.055648803711,layer2,within
10,215.11682164669037,layer2,between
10,2806.1724704504013,layer2,sum
10,1584.4618453979492,layer3,within
10,93.29798140376806,layer3,between
10,1677.7598268017173,layer3,sum
10,0.2560650031082332,layer4,within
10,0.006744020081896451,layer4,between
10,0.26280902319012966,layer4,sum
10,0.2560650031082332,avgpool,within
10,0.006744020081896451,avgpool,between
10,0.26280902319012966,avgpool,sum
14,1357.2119445800781,maxpool,within
14,104.78792643547058,maxpool,between
14,1461.9998710155487,maxpool,sum
14,6126.176574707031,layer1,within
14,646.2027077674866,layer1,between
14,6772.379282474518,layer1,sum
14,1990.9931945800781,layer2,within
14,173.15924048423767,layer2,between
14,2164.152435064316,layer2,sum
14,1221.1588821411133,layer3,within
14,78.23757731541991,layer3,between
14,1299.3964594565332,layer3,sum
14,0.21621833182871342,layer4,within
14,0.006873985144011385,layer4,between
14,0.2230923169727248,layer4,sum
14,0.21621833182871342,avgpool,within
14,0.006873985144011385,avgpool,between
14,0.2230923169727248,avgpool,sum
20,913.4514923095703,maxpool,within
20,70.71903645992279,maxpool,between
20,984.1705287694931,maxpool,sum
20,4146.343811035156,layer1,within
20,441.2532286643982,layer1,between
20,4587.597039699554,layer1,sum
20,1366.5303344726562,layer2,within
20,121.57615610957146,layer2,between
20,1488.1064905822277,layer2,sum
20,839.3537130355835,layer3,within
20,54.784344060346484,layer3,between
20,894.13805709593,layer3,sum
20,0.1929906674195081,layer4,within
20,0.006956998169698636,layer4,between
20,0.19994766558920674,layer4,sum
20,0.1929906674195081,avgpool,within
20,0.006956998169698636,avgpool,between
20,0.19994766558920674,avgpool,sum
30,475.51373291015625,maxpool,within
30,37.63465443253517,maxpool,between
30,513.1483873426914,maxpool,sum
30,2119.1206665039062,layer1,within
30,234.36418747901917,layer1,between
30,2353.4848539829254,layer1,sum
30,679.1936626434326,layer2,within
30,62.75629681348801,layer2,between
30,741.9499594569206,layer2,sum
30,405.7386374473572,layer3,within
30,27.088167995214462,layer3,between
30,432.82680544257164,layer3,sum
30,0.18031478254124522,layer4,within
30,0.008159360715580988,layer4,between
30,0.1884741432568262,layer4,sum
30,0.18031478254124522,avgpool,within
30,0.008159360715580988,avgpool,between
30,0.1884741432568262,avgpool,sum
40,249.38456916809082,maxpool,within
40,21.106897294521332,maxpool,between
40,270.49146646261215,maxpool,sum
40,1089.5528717041016,layer1,within
40,131.07020914554596,layer1,between
40,1220.6230808496475,layer1,sum
40,353.74305057525635,layer2,within
40,35.85859780758619,layer2,between
40,389.60164838284254,layer2,sum
40,214.71652698516846,layer3,within
40,16.04336412344128,layer3,between
40,230.75989110860974,layer3,sum
40,0.19238453451544046,layer4,within
40,0.017950770823517814,layer4,between
40,0.21033530533895828,layer4,sum
40,0.19238453451544046,avgpool,within
40,0.017950770823517814,avgpool,between
40,0.21033530533895828,avgpool,sum
50,134.95540046691895,maxpool,within
50,12.181732878088951,maxpool,between
50,147.1371333450079,maxpool,sum
50,570.0073890686035,layer1,within
50,76.45947641134262,layer1,between
50,646.4668654799461,layer1,sum
50,185.601402759552,layer2,within
50,21.95584261417389,layer2,between
50,207.5572453737259,layer2,sum
50,115.02658259868622,layer3,within
50,10.172825077548623,layer3,between
50,125.19940767623484,layer3,sum
50,0.26463387720286846,layer4,within
50,0.06938369222916663,layer4,between
50,0.3340175694320351,layer4,sum
50,0.26463387720286846,avgpool,within
50,0.06938369222916663,avgpool,between
50,0.3340175694320351,avgpool,sum
70,41.5646288394928,maxpool,within
70,4.335942141711712,maxpool,between
70,45.90057098120451,maxpool,sum
70,148.86626195907593,layer1,within
70,42.857994735240936,layer1,between
70,191.72425669431686,layer1,sum
70,60.91260588169098,layer2,within
70,16.234510332345963,layer2,between
70,77.14711621403694,layer2,sum
70,42.822089180350304,layer3,within
70,8.323752315714955,layer3,between
70,51.14584149606526,layer3,sum
70,0.45173067785799503,layer4,within
70,0.23386554792523384,layer4,between
70,0.6855962257832289,layer4,sum
70,0.45173067785799503,avgpool,within
70,0.23386554792523384,avgpool,between
70,0.6855962257832289,avgpool,sum
100,26.92127239704132,maxpool,within
100,2.842163421213627,maxpool,between
100,29.763435818254948,maxpool,sum
100,87.3745105266571,layer1,within
100,24.122094303369522,layer1,between
100,111.49660483002663,layer1,sum
100,36.13618603348732,layer2,within
100,9.461526188999414,layer2,between
100,45.597712222486734,layer2,sum
100,26.287633791565895,layer3,within
100,5.046798268333077,layer3,between
100,31.334432059898973,layer3,sum
100,0.5323631688952446,layer4,within
100,0.3918593190610409,layer4,between
100,0.9242224879562855,layer4,sum
100,0.5323631688952446,avgpool,within
100,0.3918593190610409,avgpool,between
100,0.9242224879562855,avgpool,sum
130,16.4974422454834,maxpool,within
130,1.2644094564020634,maxpool,between
130,17.761851701885462,maxpool,sum
130,43.944480657577515,layer1,within
130,11.005805164575577,layer1,between
130,54.95028582215309,layer1,sum
130,19.641194313764572,layer2,within
130,4.999138282611966,layer2,between
130,24.64033259637654,layer2,sum
130,15.668476529419422,layer3,within
130,2.8511354066431522,layer3,between
130,18.519611936062574,layer3,sum
130,0.661370936781168,layer4,within
130,0.7122790385037661,layer4,between
130,1.373649975284934,layer4,sum
130,0.661370936781168,avgpool,within
