epoch,value,layer_name,trace
0,3332.9152221679688,model.block0.fc,within
0,129.51363337039948,model.block0.fc,between
0,3462.428855538368,model.block0.fc,sum
0,364.3286819458008,model.block0.relu,within
0,13.591191723942757,model.block0.relu,between
0,377.91987366974354,model.block0.relu,sum
0,131.7134428024292,model.block1.fc,within
0,3.993325285613537,model.block1.fc,between
0,135.70676808804274,model.block1.fc,sum
0,43.66247797012329,model.block1.relu,within
0,1.3068029396235943,model.block1.relu,between
0,44.969280909746885,model.block1.relu,sum
0,16.828508615493774,model.block2.fc,within
0,0.448840344324708,model.block2.fc,between
0,17.277348959818482,model.block2.fc,sum
0,5.602591425180435,model.block2.relu,within
0,0.15599337127059698,model.block2.relu,between
0,5.758584796451032,model.block2.relu,sum
0,2.248314291238785,model.block3.fc,within
0,0.057084521162323654,model.block3.fc,between
0,2.3053988124011084,model.block3.fc,sum
0,0.753989439457655,model.block3.relu,within
0,0.019096535426797345,model.block3.relu,between
0,0.7730859748844523,model.block3.relu,sum
0,0.31966711580753326,model.block4.fc,within
0,0.007814845463144593,model.block4.fc,between
0,0.32748196127067786,model.block4.fc,sum
0,0.10769375786185265,model.block4.relu,within
0,0.0027625954535324126,model.block4.relu,between
0,0.11045635331538506,model.block4.relu,sum
0,0.04887683782726526,model.block5.fc,within
0,0.0011920202559849713,model.block5.fc,between
0,0.050068858083250234,model.block5.fc,sum
0,0.016294718836434186,model.block5.relu,within
0,0.0003953013720092713,model.block5.relu,between
0,0.016690020208443457,model.block5.relu,sum
0,0.007508160080760717,model.block6.fc,within
0,0.00018105319031747058,model.block6.fc,between
0,0.007689213271078188,model.block6.fc,sum
0,0.002506309887394309,model.block6.relu,within
0,6.18524666151643e-05,model.block6.relu,between
0,0.0025681623540094733,model.block6.relu,sum
0,0.001145312147855293,model.block7.fc,within
0,2.8659777910888806e-05,model.block7.fc,between
0,0.0011739719257661818,model.block7.fc,sum
0,0.00038275863335002214,model.block7.relu,within
0,9.59165315350674e-06,model.block7.relu,between
0,0.0003923502865035289,model.block7.relu,sum
0,0.00018832465684681665,model.block8.fc,within
0,4.877279422998981e-06,model.block8.fc,between
0,0.00019320193626981563,model.block8.fc,sum
0,6.160008297229069e-05,model.block8.relu,within
0,1.7235227574019518e-06,model.block8.relu,between
0,6.332360572969264e-05,model.block8.relu,sum
0,2.8811585252697114e-05,model.block9.fc,within
0,8.102927271380622e-07,model.block9.fc,between
0,2.9621877979835176e-05,model.block9.fc,sum
0,9.569123619712627e-06,model.block9.relu,within
0,2.5938723524632223e-07,model.block9.relu,between
0,9.82851085495895e-06,model.block9.relu,sum
0,4.914936340583154e-06,model.fc,within
0,1.2944509797385706e-07,model.fc,between
0,5.044381438557011e-06,model.fc,sum
1,3332.0348205566406,model.block0.fc,within
1,128.6199847459793,model.block0.fc,between
1,3460.65480530262,model.block0.fc,sum
1,851.1059265136719,model.block0.relu,within
1,65.96363484859467,model.block0.relu,between
1,917.0695613622665,model.block0.relu,sum
1,296.76292610168457,model.block1.fc,within
1,17.543976441025734,model.block1.fc,between
1,314.3069025427103,model.block1.fc,sum
1,836.7551956176758,model.block1.relu,within
1,67.81026411056519,model.block1.relu,between
1,904.565459728241,model.block1.relu,sum
1,300.7171821594238,model.block2.fc,within
1,18.970202893018723,model.block2.fc,between
1,319.68738505244255,model.block2.fc,sum
1,823.5592346191406,model.block2.relu,within
1,65.94817161560059,model.block2.relu,between
1,889.5074062347412,model.block2.relu,sum
1,304.08887100219727,model.block3.fc,within
1,19.134288489818573,model.block3.fc,between
1,323.22315949201584,model.block3.fc,sum
1,810.1750526428223,model.block3.relu,within
1,61.86801654100418,model.block3.relu,between
1,872.0430691838264,model.block3.relu,sum
1,310.5693988800049,model.block4.fc,within
1,19.05367538332939,model.block4.fc,between
