epoch,value,layer_name
3,"[-16438.21    -11091.151    14297.322   ...   -117.50049  -4729.3774
  -9082.79   ]",model.block0.relu
3,[ 67278.78   15419.412  17674.686 ...  16875.773 -21897.605  -5429.33 ],model.block1.fc
3,"[ 6205.408    5480.6816   -454.21985 ... -1985.2856    758.2627
  3679.851  ]",model.block1.relu
3,[ 45487.88   18725.797 -27353.277 ...  11577.396   5210.258  13850.446],model.block2.fc
3,"[ 3.1756811e+04  8.2446633e+04 -8.9513838e+03 ... -8.9710439e+03
 -1.5296387e+01 -9.9075645e+03]",model.block2.relu
3,"[  9658.777   24446.953   11282.547  ... -29556.05    14489.493
   1810.1221]",model.block3.fc
3,[  710.9053 -1925.6807  3792.7556 ...  5104.252   5453.532   6185.6426],model.block3.relu
3,[ 81182.24  -62561.92   11021.938 ...  10748.985  24369.674  18559.924],model.block4.fc
3,[ -9707.987 -11677.82  -69862.67  ...  43321.71  -11958.539  -8120.111],model.block4.relu
3,"[-137371.72    56401.688   48505.832 ...  140685.06    30600.713
  -68672.05 ]",model.block5.fc
3,[ 2265.871  11297.179  -1772.8826 ... -4277.794  -3895.706  14775.112 ],model.block5.relu
3,"[  226.72217 14224.759   26691.29    ... 27602.828   -2365.9746
 54941.33   ]",model.block6.fc
3,"[-160244.5     81495.734   60362.    ...  -28701.576   22276.826
   31121.438]",model.block6.relu
3,"[ 503793.38   166109.22  -380465.7   ...  -68765.87     4365.155
  -77558.414]",model.block7.fc
3,[ 88443.43  -19417.328 -52849.492 ... -15416.927 -29382.73   17065.586],model.block7.relu
3,[35973.164 -4528.874 64548.656 ...  5848.27  43130.11  11107.69 ],model.block8.fc
3,"[  42311.484 -214069.64   -29339.729 ...   33089.375  -63140.156
  -39219.445]",model.block8.relu
3,[407343.12  169319.2   685194.4   ... -19665.447  54303.63   14589.4  ],model.block9.fc
3,[423499.78  149739.25  -15085.963 ...  41377.32   54990.453  78025.12 ],model.block9.relu
3,"[-306459.06   112973.484  -52226.64  ...  -38802.414   59893.53
  -16133.939]",model.fc
4,"[ 2.3341860e+06 -5.5679398e+04 -2.6429518e+06 ... -6.1526509e+03
 -1.1022755e+03 -2.4975916e+03]",model.block0.fc
4,[ 8718.775   1588.2537 14670.641  ... -9735.563  -4619.91   -4188.3926],model.block0.relu
4,[51074.645  57508.83   30856.473  ... 21478.398  -7309.2227  1752.5408],model.block1.fc
4,"[ 8842.569    -723.20996  -148.4917  ... -2377.0752   -317.78552
  -343.74207]",model.block1.relu
4,"[-157704.72     20684.197   -52435.28   ...   -1714.9604  -11387.642
   10155.824 ]",model.block2.fc
4,[29808.979  29026.633  10486.832  ... -4118.395   5505.2163 -6308.866 ],model.block2.relu
4,"[-42572.13    95725.26    29348.611  ... -11881.5625  -1274.9928
   5845.367 ]",model.block3.fc
4,"[16382.223   12395.408     476.79785 ... -2966.7234   7717.9277
   218.66809]",model.block3.relu
4,[81264.62   18253.764   3252.1372 ...  -879.4451 31528.639  30145.982 ],model.block4.fc
4,[ 61268.703  17420.342  14217.382 ...  52742.492 -10208.708 -17253.547],model.block4.relu
4,"[-144112.56    22505.967   55744.19  ...  190596.94    59427.383
 -193558.06 ]",model.block5.fc
4,[11242.572   6799.0347  5554.1367 ... -4500.8706  -959.4275  2184.6375],model.block5.relu
4,"[  9139.754   87249.16     3087.5242 ...  24262.791  -22693.66
  22115.754 ]",model.block6.fc
4,[ 52015.152  71561.77   32013.535 ... -22958.799  18994.678 -17432.852],model.block6.relu
4,"[ 7.1916650e+05  2.0433345e+05 -3.9706801e+04 ... -2.1713047e+04
  5.3860889e+02 -1.1246329e+05]",model.block7.fc
4,[-86399.67   64917.11  -85167.81  ... -56112.383 -89750.66  -12988.156],model.block7.relu
